 rname1  | rname2  
---------+---------
 Alpha   | Delta
 Alpha   | Zeta
 Beta    | Alpha
 Beta    | Delta
 Beta    | Epsilon
 Beta    | Eta
 Beta    | Gamma
 Beta    | Iota
 Beta    | Theta
 Beta    | Zeta
 Delta   | Zeta
 Epsilon | Alpha
 Epsilon | Delta
 Epsilon | Eta
 Epsilon | Iota
 Epsilon | Theta
 Epsilon | Zeta
 Eta     | Delta
 Eta     | Zeta
 Gamma   | Alpha
 Gamma   | Delta
 Gamma   | Epsilon
 Gamma   | Eta
 Gamma   | Iota
 Gamma   | Theta
 Gamma   | Zeta
 Iota    | Alpha
 Iota    | Delta
 Iota    | Eta
 Iota    | Theta
 Iota    | Zeta
 Lambda  | Alpha
 Lambda  | Delta
 Lambda  | Epsilon
 Lambda  | Eta
 Lambda  | Gamma
 Lambda  | Iota
 Lambda  | Theta
 Lambda  | Zeta
 Theta   | Alpha
 Theta   | Delta
 Theta   | Eta
 Theta   | Zeta
(43 rows)

